patient,display_id,label,role,trial_group,category,x,y,pair_dist_2d,pair_dist_frac,pair_cos_dist
RB,NUE031,caramel,neighbor,0:mango,,0.42174527857106525,0.37018439485003934,,,
RB,NUE031,leaf,neighbor,0:mango,,0.1752993384850827,0.17186132873301033,,,
RB,NUE031,lime,truth,1:lime,food/fruit,0.3788400493018655,0.2753076875596959,0.21234927598890985,0.1191076995394123,0.32741439890046553
RB,NUE031,peach,predicted,1:lime,food/fruit,0.40961067169930016,0.0651996586548283,0.21234927598890985,0.1191076995394123,0.32741439890046553
RB,NUE031,vanilla,neighbor,1:lime,,0.5293699419964479,0.2958899537082012,,,
RB,NUE031,berry,neighbor,1:lime,,0.4983815312825718,-0.20566761476401094,,,
RB,NUE031,apple,neighbor,1:lime,,0.4137433608755525,-0.16469658170229431,,,
RB,NUE031,waist,truth,2:waist,body part,-0.27688204891759544,0.48313460943573266,0.17677627642909893,0.09915463813360423,0.3128285546635208
RB,NUE031,shoulder,predicted,2:waist,body part,-0.3375390352772838,0.31709069381731025,0.17677627642909893,0.09915463813360423,0.3128285546635208
RB,NUE031,wrist,neighbor,2:waist,,-0.4620316425726591,0.39287361776797686,,,
RB,NUE031,neck,neighbor,2:waist,,-0.26785373128911283,0.28450606406410267,,,
RB,NUE031,ankle,neighbor,2:waist,,-0.3944947925260473,0.4295197452289828,,,
RB,NUE031,leg,neighbor,2:waist,,-0.34700117419191895,0.21592402867276264,,,
RB,NUE031,knee,neighbor,2:waist,,-0.4030089526965609,0.3770460844754202,,,
RB,NUE031,arm,neighbor,2:waist,,-0.4818328301207976,0.166428908245298,,,
RB,NUE031,chest,neighbor,2:waist,,-0.3393152094122398,0.27167016188890497,,,
RB,NUE031,toe,neighbor,2:waist,,-0.21641393602812567,0.4090784790251404,,,
RB,NUE031,strap,neighbor,2:waist,,-0.2668026594353958,0.5358113585719364,,,
RB,NUE031,thigh,neighbor,2:waist,,-0.23634307388078213,0.456153009155173,,,
RB,NUE031,elbow,neighbor,2:waist,,-0.37123636750075245,0.4322664777321175,,,
RB,NUE031,head,neighbor,2:waist,,-0.4030294618910197,-0.08170219994543404,,,
RB,NUE031,jaw,neighbor,2:waist,,-0.5396035055160381,0.1637604526218616,,,
RB,NUE031,snap,neighbor,2:waist,,-0.15354948313474612,0.262048673347845,,,
RB,NUE031,heel,neighbor,2:waist,,-0.20076358482329923,0.5392374827672526,,,
RB,NUE031,belt,neighbor,2:waist,,-0.5219736380931438,0.2465396970684618,,,
RB,NUE031,collar,neighbor,2:waist,,-0.45524637217088937,0.31638185709782696,,,
RB,NUE031,chin,neighbor,2:waist,,-0.11812162715759739,0.4587448057169123,,,
