patient,display_id,label,role,trial_group,category,x,y,pair_dist_2d,pair_dist_frac,pair_cos_dist
AA,NUE041,toe,truth,1:toe,body part,-0.05581532066974378,0.5356176578722739,0.10123924071117382,0.06099884445522717,0.3868003948743137
AA,NUE041,leg,predicted,1:toe,body part,0.022767595844868576,0.47178890971102244,0.10123924071117382,0.06099884445522717,0.3868003948743137
AA,NUE041,muscle,neighbor,1:toe,,0.523310124242746,0.3172430712969137,,,
AA,NUE041,thigh,neighbor,1:toe,,0.06976680998195164,0.5021257984431214,,,
AA,NUE041,ankle,neighbor,1:toe,,0.02514853617331423,0.629522561577279,,,
AA,NUE041,knee,neighbor,1:toe,,0.07167460268267345,0.599953762088963,,,
AA,NUE041,chest,neighbor,1:toe,,0.21434412642288714,0.43793888961404004,,,
AA,NUE041,wrist,neighbor,1:toe,,0.14121635286137196,0.6216162746225522,,,
AA,NUE041,elbow,neighbor,1:toe,,0.2011052407033763,0.567315135636171,,,
AA,NUE041,heel,neighbor,1:toe,,-0.07192622204121038,0.6153044349056084,,,
AA,NUE041,calf,neighbor,1:toe,,-0.22905476497577867,0.493133691125193,,,
AA,NUE041,pain,neighbor,1:toe,,0.4522201458025091,0.3714336449262616,,,
AA,NUE041,stomach,neighbor,1:toe,,0.37006621746079377,0.18151221007655213,,,
AA,NUE041,nerve,neighbor,1:toe,,0.5199064244404906,0.4301993702544159,,,
AA,NUE041,arm,neighbor,1:toe,,0.21523303997255977,0.5280009394132028,,,
AA,NUE041,bone,neighbor,1:toe,,0.14415160681172096,0.3116434655698073,,,
AA,NUE041,apple,truth,2:apple,food/fruit,0.3634045434244827,-0.30690902334953535,0.17976918850030676,0.10831484600380191,0.3778731781332809
AA,NUE041,strawberry,predicted,2:apple,food/fruit,0.18895758535506757,-0.35032814303644916,0.17976918850030676,0.10831484600380191,0.3778731781332809
AA,NUE041,cookie,neighbor,2:apple,,-0.1281316158374568,-0.5364688681146718,,,
AA,NUE041,pumpkin,neighbor,2:apple,,-0.03285504878665869,-0.34527273664753677,,,
AA,NUE041,banana,neighbor,2:apple,,0.16012037791543093,-0.304853222553064,,,
AA,NUE041,cake,neighbor,2:apple,,-0.0651713326876072,-0.4520446586867042,,,
AA,NUE041,butter,neighbor,2:apple,,0.10464603764364462,-0.3974500456862997,,,
AA,NUE041,chocolate,neighbor,2:apple,,0.044538037050196565,-0.396044198082338,,,
AA,NUE041,candy,neighbor,2:apple,,-0.1226817615438675,-0.4339571543842988,,,
AA,NUE041,peanut,neighbor,2:apple,,0.014240281494258808,-0.4130517036477631,,,
AA,NUE041,cinnamon,neighbor,2:apple,,0.2594205438757139,-0.4638619505370846,,,
AA,NUE041,honey,neighbor,2:apple,,0.1550462011976568,-0.2290366043807477,,,
AA,NUE041,peach,neighbor,2:apple,,0.3750071483368681,-0.2602100874675434,,,
AA,NUE041,lemon,neighbor,2:apple,,0.35369973888532136,-0.36597636750210105,,,
AA,NUE041,pineapple,neighbor,2:apple,,0.31323153148708505,-0.3663876591517728,,,
AA,NUE041,caramel,neighbor,2:apple,,0.25474888988392935,-0.4924497081510123,,,
AA,NUE041,pie,neighbor,2:apple,,-0.04729176294315511,-0.47894367090842077,,,
AA,NUE041,cupcake,neighbor,2:apple,,-0.1902808400718994,-0.5340859854786459,,,
AA,NUE041,pudding,neighbor,2:apple,,0.038295119621141085,-0.5138406413528198,,,
AA,NUE041,coconut,neighbor,2:apple,,0.21776612238823875,-0.4264685571362809,,,
AA,NUE041,nut,neighbor,2:apple,,-0.13468634584044997,-0.33915270651655255,,,
AA,NUE041,cheese,neighbor,2:apple,,0.05779564541756777,-0.46901494849926845,,,
AA,NUE041,bread,neighbor,2:apple,,0.057937590652658355,-0.49757440723779744,,,
AA,NUE041,orange,neighbor,2:apple,,0.3387809727155091,-0.15166417791583947,,,
AA,NUE041,cat,truth,3:cat,animal,-0.3730623121321436,0.17360393458083587,0.16880490181415048,0.10170862480505334,0.34703630751868375
AA,NUE041,rabbit,predicted,3:cat,animal,-0.3031229578688158,0.019969362945042493,0.16880490181415048,0.10170862480505334,0.34703630751868375
AA,NUE041,animal,neighbor,3:cat,,-0.4542964743423419,0.13694067054264802,,,
AA,NUE041,horse,neighbor,3:cat,,-0.40013994585840756,0.3223632137112712,,,
