patient,task,variant,N,N_effective,median_rank,mean_rank,mean_percentile,median_percentile,MedR,MRR,top1,top5,top10,top50,top100,n_trials,n_excluded,N_gallery,chance_top1,chance_top5,chance_top10,chance_top50,chance_top100,chance_median_percentile
LH,auditory_naming,matched,500,500,60.0,91.46107784431138,0.18292215568862275,0.12,60.0,0.07102771533651149,0.017964071856287425,0.10778443113772455,0.16766467065868262,0.46107784431137727,0.6706586826347305,167,9,500,0.002,0.01,0.02,0.1,0.2,0.5
RB,auditory_naming,matched,500,500,81.5,131.94520547945206,0.26389041095890414,0.163,81.5,0.06817076998203303,0.03424657534246575,0.08904109589041095,0.14383561643835616,0.3561643835616438,0.547945205479452,146,18,500,0.002,0.01,0.02,0.1,0.2,0.5
WBH,auditory_naming,matched,500,500,50.0,80.77927927927928,0.16155855855855858,0.1,50.0,0.061980382250515186,0.018018018018018018,0.07207207207207207,0.13513513513513514,0.5,0.7252252252252253,222,47,500,0.002,0.01,0.02,0.1,0.2,0.5
AA,auditory_naming,matched,1000,1000,48.0,126.58823529411765,0.12658823529411767,0.048,48.0,0.12172911284930174,0.058823529411764705,0.19607843137254902,0.23529411764705882,0.5294117647058824,0.6078431372549019,51,2,1000,0.001,0.005,0.01,0.05,0.1,0.5
AZ,auditory_naming,matched,1000,1000,74.0,128.23157894736843,0.12823157894736842,0.074,74.0,0.08014774550739913,0.042105263157894736,0.10526315789473684,0.12631578947368421,0.4,0.6526315789473685,95,9,1000,0.001,0.005,0.01,0.05,0.1,0.5
CP,auditory_naming,matched,1000,1000,112.5,205.24107142857142,0.20524107142857145,0.1125,112.5,0.054231609301146046,0.017857142857142856,0.08928571428571429,0.11607142857142858,0.3482142857142857,0.4732142857142857,112,24,1000,0.001,0.005,0.01,0.05,0.1,0.5
DR,auditory_naming,matched,1000,1000,57.0,94.2,0.09419999999999999,0.057,57.0,0.05972473343200962,0.0,0.08888888888888889,0.2,0.4666666666666667,0.6222222222222222,45,6,1000,0.001,0.005,0.01,0.05,0.1,0.5
KAW,auditory_naming,matched,1000,1000,94.0,145.84166666666667,0.14584166666666665,0.094,94.0,0.054229476671355234,0.025,0.041666666666666664,0.09166666666666666,0.36666666666666664,0.55,120,0,1000,0.001,0.005,0.01,0.05,0.1,0.5
LH,auditory_naming,matched,1000,1000,77.0,144.47305389221557,0.14447305389221557,0.077,77.0,0.07145379057007477,0.023952095808383235,0.09580838323353294,0.15568862275449102,0.41916167664670656,0.6107784431137725,167,9,1000,0.001,0.005,0.01,0.05,0.1,0.5
RB,auditory_naming,matched,1000,1000,110.0,218.8082191780822,0.21880821917808221,0.11,110.0,0.059426630815189646,0.0273972602739726,0.07534246575342465,0.11643835616438356,0.3013698630136986,0.4657534246575342,146,18,1000,0.001,0.005,0.01,0.05,0.1,0.5
WBH,auditory_naming,matched,1000,1000,65.0,123.2072072072072,0.12320720720720722,0.065,65.0,0.054687480562589326,0.013513513513513514,0.07207207207207207,0.12162162162162163,0.45045045045045046,0.6576576576576577,222,47,1000,0.001,0.005,0.01,0.05,0.1,0.5
AA,auditory_naming,matched,2000,2000,75.0,208.90196078431373,0.10445098039215686,0.0375,75.0,0.11488861223083709,0.058823529411764705,0.19607843137254902,0.23529411764705882,0.43137254901960786,0.5686274509803921,51,2,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
AZ,auditory_naming,matched,2000,2000,107.0,217.02105263157895,0.10851052631578946,0.0535,107.0,0.07771782353692558,0.042105263157894736,0.11578947368421053,0.11578947368421053,0.3157894736842105,0.49473684210526314,95,9,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
CP,auditory_naming,matched,2000,2000,155.0,348.0625,0.17403125,0.0775,155.0,0.056237341696539676,0.017857142857142856,0.08928571428571429,0.13392857142857142,0.29464285714285715,0.4017857142857143,112,24,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
DR,auditory_naming,matched,2000,2000,77.0,148.11111111111111,0.07405555555555556,0.0385,77.0,0.06013479379262451,0.0,0.06666666666666667,0.13333333333333333,0.4,0.5555555555555556,45,6,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
KAW,auditory_naming,matched,2000,2000,126.5,241.85833333333332,0.12092916666666668,0.06325,126.5,0.04929977100624848,0.025,0.041666666666666664,0.075,0.30833333333333335,0.43333333333333335,120,0,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
LH,auditory_naming,matched,2000,2000,106.0,244.11377245508982,0.1220568862275449,0.053,106.0,0.06328102634966522,0.017964071856287425,0.08982035928143713,0.16766467065868262,0.3712574850299401,0.47904191616766467,167,9,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
RB,auditory_naming,matched,2000,2000,149.0,350.93150684931504,0.17546575342465753,0.0745,149.0,0.048706340912654994,0.0136986301369863,0.0684931506849315,0.1095890410958904,0.2534246575342466,0.3835616438356164,146,18,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
WBH,auditory_naming,matched,2000,2000,86.0,217.9189189189189,0.10895945945945944,0.043,86.0,0.0478482367057916,0.009009009009009009,0.07207207207207207,0.11261261261261261,0.36936936936936937,0.5315315315315315,222,47,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
AA,auditory_naming,matched,5000,5000,125.0,401.29411764705884,0.08025882352941176,0.025,125.0,0.1039159603002028,0.058823529411764705,0.13725490196078433,0.19607843137254902,0.39215686274509803,0.45098039215686275,51,2,5000,0.0002,0.001,0.002,0.01,0.02,0.5
AZ,auditory_naming,matched,5000,5000,151.0,451.9789473684211,0.09039578947368423,0.0302,151.0,0.069153811313331,0.031578947368421054,0.09473684210526316,0.1368421052631579,0.2631578947368421,0.37894736842105264,95,9,5000,0.0002,0.001,0.002,0.01,0.02,0.5
CP,auditory_naming,matched,5000,5000,323.5,774.3125,0.1548625,0.06470000000000001,323.5,0.033644338987879045,0.008928571428571428,0.044642857142857144,0.07142857142857142,0.1875,0.22321428571428573,112,24,5000,0.0002,0.001,0.002,0.01,0.02,0.5
DR,auditory_naming,matched,5000,5000,93.0,292.75555555555553,0.05855111111111112,0.0186,93.0,0.06727058700639225,0.022222222222222223,0.08888888888888889,0.13333333333333333,0.3333333333333333,0.5111111111111111,45,6,5000,0.0002,0.001,0.002,0.01,0.02,0.5
KAW,auditory_naming,matched,5000,5000,211.5,479.025,0.095805,0.0423,211.5,0.041581765260709766,0.016666666666666666,0.05,0.058333333333333334,0.25,0.35833333333333334,120,0,5000,0.0002,0.001,0.002,0.01,0.02,0.5
LH,auditory_naming,matched,5000,5000,152.0,510.8562874251497,0.10217125748502993,0.0304,152.0,0.05400770963564174,0.017964071856287425,0.07784431137724551,0.12574850299401197,0.31137724550898205,0.41916167664670656,167,9,5000,0.0002,0.001,0.002,0.01,0.02,0.5
RB,auditory_naming,matched,5000,5000,211.0,628.6712328767123,0.12573424657534246,0.0422,211.0,0.046305490298341995,0.0136986301369863,0.07534246575342465,0.0958904109589041,0.21232876712328766,0.3150684931506849,146,18,5000,0.0002,0.001,0.002,0.01,0.02,0.5
WBH,auditory_naming,matched,5000,5000,142.5,558.6441441441441,0.11172882882882884,0.028499999999999998,142.5,0.044955577913115344,0.009009009009009009,0.07207207207207207,0.11711711711711711,0.3063063063063063,0.4369369369369369,222,47,5000,0.0002,0.001,0.002,0.01,0.02,0.5
AA,auditory_naming,raw,200,200,30.0,53.96078431372549,0.26980392156862754,0.15,30.0,0.11112649181310828,0.0392156862745098,0.1568627450980392,0.2549019607843137,0.5490196078431373,0.7450980392156863,51,2,200,0.005,0.025,0.05,0.25,0.5,0.5
AZ,auditory_naming,raw,200,200,41.0,54.95789473684211,0.27478947368421053,0.205,41.0,0.069559521117453,0.010526315789473684,0.11578947368421053,0.15789473684210525,0.5578947368421052,0.8315789473684211,95,9,200,0.005,0.025,0.05,0.25,0.5,0.5
CP,auditory_naming,raw,200,200,63.0,76.50892857142857,0.38254464285714285,0.315,63.0,0.0454660104699438,0.008928571428571428,0.044642857142857144,0.13392857142857142,0.39285714285714285,0.6785714285714286,112,24,200,0.005,0.025,0.05,0.25,0.5,0.5
DR,auditory_naming,raw,200,200,30.0,49.15555555555556,0.2457777777777778,0.15,30.0,0.10229804668333564,0.044444444444444446,0.13333333333333333,0.17777777777777778,0.6,0.8222222222222222,45,6,200,0.005,0.025,0.05,0.25,0.5,0.5
